CI Config Admin Group,Compliance result ID,Vulnerability ID,Date,Environment,Advisory overdue,TotalCompliance result ID,Total Compliance result ID,Total Vulnerability ID
Config0002,0.0,9.0,2023-05-02,,,,,
Config0002,0.0,9.0,2023-05-02,,,,,
Config0002,0.0,9.0,2023-05-02,,,,,
Config0002,0.0,9.0,2023-05-03,,,,,
Config0002,0.0,9.0,2023-05-05,,,,,
Config0002,0.0,9.0,2023-05-05,,,,,
Config0002,0.0,9.0,2023-05-05,,,,,
Config0002,0.0,9.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,626.0,61.0,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,34.0,2023-05-05,,,,,
Config0010,118.0,6.0,2023-05-05,,,,,
Config0010,118.0,6.0,2023-05-05,,,37.0,,
Config0010,118.0,6.0,2023-05-05,,,,37.0,
Config0002,0.0,64.0,2023-05-05,,,,,9.0
