CI Config Admin Group,Compliance result ID,Vulnerability ID,Total Vulnerability ID,Date
Config0010,37.0,34.0,6.0,2023-05-06
Config0010,37.0,34.0,6.0,2023-05-06
Config0010,37.0,34.0,6.0,2023-05-06
Config0010,37.0,34.0,6.0,2023-05-06
Config0010,37.0,34.0,6.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-09
Config0010,37.0,34.0,6.0,2023-05-09
Config0010,37.0,34.0,6.0,2023-05-09
Config0010,37.0,34.0,6.0,2023-05-09
Config0010,37.0,34.0,6.0,2023-05-11
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,,,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
Config0010,37.0,34.0,6.0,2023-05-12
