CI Config Admin Group,Compliance result ID,Vulnerability ID,Total Vulnerability ID,Date
Config0001,142.0,20.0,12.0,2023-05-07
Config0003,9.0,83.0,12.0,2023-05-07
Config0004,16.0,18.0,8.0,2023-05-07
Config0006,6.0,9.0,0.0,2023-05-07
Config0007,4.0,0.0,0.0,2023-05-07
Config0008,324.0,111.0,0.0,2023-05-07
Config0009,84.0,84.0,1.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0011,4.0,0.0,0.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0005,0.0,45.0,13.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-07
Config0003,9.0,83.0,12.0,2023-05-07
Config0004,16.0,18.0,8.0,2023-05-07
Config0006,6.0,9.0,0.0,2023-05-07
Config0007,4.0,0.0,0.0,2023-05-07
Config0008,324.0,111.0,0.0,2023-05-07
Config0009,84.0,84.0,1.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0011,4.0,0.0,0.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0005,0.0,45.0,13.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-07
Config0003,9.0,83.0,12.0,2023-05-07
Config0004,16.0,18.0,8.0,2023-05-07
Config0006,6.0,9.0,0.0,2023-05-07
Config0007,4.0,0.0,0.0,2023-05-07
Config0008,324.0,111.0,0.0,2023-05-07
Config0009,84.0,84.0,1.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0011,4.0,0.0,0.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0005,0.0,45.0,13.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-07
Config0003,9.0,83.0,12.0,2023-05-07
Config0004,16.0,18.0,8.0,2023-05-07
Config0006,6.0,9.0,0.0,2023-05-07
Config0007,4.0,0.0,0.0,2023-05-07
Config0008,324.0,111.0,0.0,2023-05-07
Config0009,84.0,84.0,1.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0011,4.0,0.0,0.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0005,0.0,45.0,13.0,2023-05-07
Config0001,142.0,20.0,12.0,2023-05-07
Config0003,9.0,83.0,12.0,2023-05-07
Config0004,16.0,18.0,8.0,2023-05-07
Config0006,6.0,9.0,0.0,2023-05-07
Config0007,4.0,0.0,0.0,2023-05-07
Config0008,324.0,111.0,0.0,2023-05-07
Config0009,84.0,84.0,1.0,2023-05-07
Config0010,37.0,34.0,6.0,2023-05-07
Config0011,4.0,0.0,0.0,2023-05-07
Config0002,0.0,64.0,9.0,2023-05-07
Config0005,0.0,45.0,13.0,2023-05-07
